date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:10	7200/7200	---M--	200	added ('OK')	application/javascript	etag:%225a40cbb-1c20-4e22f71b6fa80%22	http://www.eptc.church/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://www.eptc.church/)
16:57:10	824/824	---MC-	200	added ('OK')	text/xml	date:Sat,%2027%20Feb%202016%2011:27:01%20GMT	http://www.eptc.church/xmlrpc.php?rsd	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/xmlrpc0db0.php	(from http://www.eptc.church/)
16:57:10	1045/1045	---M--	200	added ('OK')	application/xml	etag:%225a40e3a-415-4ed4785e9de00%22	http://www.eptc.church/wp-includes/wlwmanifest.xml	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-includes/wlwmanifest.xml	(from http://www.eptc.church/)
16:57:10	956/956	---MC-	200	added ('OK')	application/json	date:Sat,%2027%20Feb%202016%2011:27:02%20GMT	http://www.eptc.church/wp-json/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-json/index.html	(from http://www.eptc.church/)
16:57:11	4269/4269	---M--	200	added ('OK')	image/png	etag:%225a40ba5-10ad-51c4a9dd49243%22	http://www.eptc.church/wp-content/uploads/2015/08/eptclogo1.png	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/uploads/2015/08/eptclogo1.png	(from http://www.eptc.church/)
16:57:12	28376/28376	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:27:03%20GMT	http://www.eptc.church/who-we-are-2/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/who-we-are-2/index.html	(from http://www.eptc.church/)
16:57:21	95977/95977	---M--	200	added ('OK')	application/javascript	etag:%225a40cc1-176e9-526ac9b897e4d%22	http://www.eptc.church/wp-includes/js/jquery/jquery.js?ver=1.11.3	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-includes/js/jquery/jqueryc1d8.js	(from http://www.eptc.church/)
16:57:23	26885/26885	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:27:13%20GMT	http://www.eptc.church/timings/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/timings/index.html	(from http://www.eptc.church/)
16:57:55	268937/268937	---M--	200	added ('OK')	image/jpeg	etag:%225b42a36-41a89-5281c6098f124%22	http://www.eptc.church/wp-content/uploads/2015/12/DSC03361__.jpg	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/uploads/2015/12/DSC03361__.jpg	(from http://www.eptc.church/)
16:57:57	29377/29377	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:27:48%20GMT	http://www.eptc.church/office-bearers-for-the-biennium-2015-2017/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/office-bearers-for-the-biennium-2015-2017/index.html	(from http://www.eptc.church/)
16:58:06	28500/28500	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:27:56%20GMT	http://www.eptc.church/pastorate-committee/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/pastorate-committee/index.html	(from http://www.eptc.church/)
16:58:06	268241/268241	---M--	200	added ('OK')	image/jpeg	etag:%225b42a3b-417d1-5281c6854b8c6%22	http://www.eptc.church/wp-content/uploads/2015/12/DSC03372__.jpg	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/uploads/2015/12/DSC03372__.jpg	(from http://www.eptc.church/)
16:58:08	26544/26544	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:27:59%20GMT	http://www.eptc.church/church-office/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/church-office/index.html	(from http://www.eptc.church/)
